Symbol	Name	Currency	Exchange	Instrument.Long.Name	Isin	Segment.code	Sector.code
HR1O	HAZEL RENEWABLE ENERGY VCT 1 PLC	GBX	LSE	ORD 0.1P	GB00B4M2G812	SSQ3	SQQ3
JDTC	JUPITER DIVIDEND & GROWTH TRUST PLC	GBX	LSE	COM SHS 3.967705P	GB00B4MW8K78	SSQ3	SQQ3
DP3D	DOWNING THREE VCT PLC	GBX	LSE	D SHARE 0.1P	GB00B4V7FP75	SSQ3	SQQ3
GHT	GRESHAM COMPUTING PLC	GBX	LSE	ORD 5P	GB0008808825	SSQ3	SQQ3
TXH	TEX HLDGS PLC	GBX	LSE	ORD 10P	GB0008850470	SSQ3	SQQ3
TON	TITON HLDGS PLC	GBX	LSE	ORD 10P	GB0008941402	SSQ3	SQQ3
TRD	TRIAD GROUP PLC	GBX	LSE	ORD 1P	GB0009035741	SSQ3	SQQ3
WTM	WATERMAN GROUP PLC	GBX	LSE	ORD 10P	GB0009422543	SSQ3	SQQ3
FTD	FORESIGHT 3 VCT PLC	GBX	LSE	ORD 1P	GB00B3QF3772	SSQ3	SQQ3
IONB	IONA ENVIRONMENTAL VCT PLC	GBX	LSE	B SHS 0.1P	GB00B40HX431	SSQ3	SQQ3
PUM8	PUMA VCT 8 PLC	GBX	LSE	ORD 1P	GB00B40PR121	SSQ3	SQQ3
EDGF	EDGE PERFORMANCE VCT PLC	GBX	LSE	F SHS 10P	GB00B560SW69	SSQ3	SQQ3
EDGI	EDGE PERFORMANCE VCT PLC	GBX	LSE	I SHS 10P	GB00B5B6VC05	SSQ3	SQQ3
PGOO	PROVEN GROWTH & INCOME VCT PLC	GBX	LSE	ORD 1.6187P	GB00B5B7YS03	SSQ3	SQQ3
JPB	JPMORGAN BRAZIL INV TRUST PLC	GBX	LSE	ORD 1P	GB00B602HS43	SSQ3	SQQ3
CAPD	CAPITAL DRILLING LD	GBX	LSE	COMM SHS USD0.0001 (DI)	BMG022411000	SSQ3	SQQ3
SBS	SOURCE BIOSCIENCE PLC	GBX	LSE	ORD 2P	GB0009739649	SSQ3	SQQ3
BMD	BARONSMEAD VCT 3 PLC	GBX	LSE	ORD 10P	GB0030028103	SSQ3	SQQ3
CYS	CHRYSALIS VCT PLC	GBX	LSE	ORD 1P	GB0030348683	SSQ3	SQQ3
MIG2	MAVEN INCOME AND GROWTH VCT 2 PLC	GBX	LSE	ORD 10P	GB0030367451	SSQ3	SQQ3
FTVP	FORESIGHT VCT PLC	GBX	LSE	PLANNED EXIT SHS 1P	GB00B61K7Y37	SSQ3	SQQ3
FTSV	FORESIGHT SOLAR VCT PLC	GBX	LSE	ORD 1P	GB00B640GZ49	SSQ3	SQQ3
AT2	AMATI VCT 2 PLC	GBX	LSE	ORD 5P	GB00B641BB82	SSQ3	SQQ3
FTV	FORESIGHT VCT PLC	GBX	LSE	ORD 1P	GB00B68K3716	SSQ3	SQQ3
OCV4	OCTOPUS VCT 4 PLC	GBX	LSE	ORD 1P	GB00B6QM2B64	SSQ3	SQQ3
MWY	MID WYND INTL INV TST PLC	GBX	LSE	ORD 5P	GB00B6VTTK07	SSQ3	SQQ3
BRIG	BLACKROCK INCOME & GROWTH INV TRUST	GBX	LSE	ORD 1P	GB0030961691	SSQ3	SQQ3
BNS	BARONSMEAD VCT 4 PLC	GBX	LSE	ORD 10P	GB0031095283	SSQ3	SQQ3
NTN	NORTHERN 3 VCT PLC	GBX	LSE	ORD 5P	GB0031152027	SSQ3	SQQ3
MIG3	MAVEN INCOME AND GROWTH VCT 3 PLC	GBX	LSE	ORD 10P	GB0031153769	SSQ3	SQQ3
HYG	HYGEA VCT PLC	GBX	LSE	ORD 50P	GB0031256109	SSQ3	SQQ3
ET.	ESTABLISHMENT INVESTMENT TRUST PLC	GBX	LSE	ORD 25P	GB0031336919	SSQ3	SQQ3
OTT	OXFORD TECHNOLOGY 3 VCT PLC	GBX	LSE	ORD 10P	GB0031420390	SSQ3	SQQ3
DVW	DEE VALLEY GROUP PLC	GBX	LSE	ORD 5P	GB0031798449	SSQ3	SQQ3
LTI	LINDSELL TRAIN INVESTMENT TRUST PLC	GBP	LSE	ORD 75P	GB0031977944	SSQ3	SQQ3
DP3F	DOWNING THREE VCT PLC	GBX	LSE	F SHS 0.1P	GB00B6ZS1P26	SSQ3	SQQ3
SMJ	SMART(J.)& CO(CONTRACTORS) PLC	GBX	LSE	ORD 2P	GB00B76BK617	SSQ3	SQQ3
PEW	PREMIER ENERGY & WATER TRUST PLC	GBX	LSE	ORD 1P	GB0033537902	SSQ3	SQQ3
JPEC	JPMORGAN ELECT PLC	GBX	LSE	MANAGED CASH SHS 0.002P	GB0034080092	SSQ3	SQQ3
JPEI	JPMORGAN ELECT PLC	GBX	LSE	MANAGED INC SHS 0.003P	GB0034080217	SSQ3	SQQ3
OOA	OCTOPUS AIM VCT PLC	GBX	LSE	ORD 1P	GB0034202076	SSQ3	SQQ3
PVN	PROVEN VCT PLC	GBX	LSE	ORD 10P	GB00B8GH9P84	SSQ3	SQQ3
DP2G	DOWNING TWO VCT PLC	GBX	LSE	G SHS 0.1P	GB00B8Y7CS47	SSQ3	SQQ3
