EUO	CROC	SJP3.L	SDS	SPY	TNA	TZA	GLD	AGQ	SLV	ZSL	SVXY	TVIX	UVXY	VXX	XIV	XLB	ERX	ERY	XLE	FAS	FAZ	XLF	XLI	XLK	XLP	XLU	XLV	XLY	UWTI
1999-02-26	19.747982455067	130.376582362273	271.264849202292	758.941950452821	86.6378756120314	35.8770081721927	1673813.7004855	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.3193	45.2133941163302	5746691.31793592	15.8935	933.358976424743	20768567.9074406	17.1133	18.0066000000001	28.1233999999999	18.1782999999998	15.2891	21.5384	22.264	NA
1999-03-01	20.0579377410167	130.40937175928	278.388932795544	762.616156638994	86.4935227399881	36.4021371634448	1649953.59179178	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.1523	43.7788323136888	5924450.7910577	15.7327	948.380521857297	20620953.3259649	17.1796	17.9952000000001	27.9943999999999	18.0925999999998	15.0642	21.5014	22.2768	NA
1999-03-02	19.9227736403548	128.103837350531	282.031277115838	775.731469234107	85.7566987372022	36.444501387283	1651614.7809782	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.027	42.4725885094341	6111697.24225944	15.572	956.708329374909	20466577.6861557	17.2237	17.8460000000001	27.2461999999999	18.0389999999998	14.8392	21.4891	22.3277	NA
1999-03-03	20.0783999374262	127.208660824672	290.296396632983	772.191421868207	85.9172230412513	35.7656893889853	1682476.09408842	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.9331	45.1564280765814	5710175.39837297	15.9165	930.574055820569	20964840.672036	17.0581	17.7427000000001	27.7105999999999	18.0389999999998	14.8475	21.3534	22.213	NA
1999-03-04	20.273533522747	126.782798964931	302.00167103902	749.085835442826	87.2461298811315	36.3380936834165	1653808.89772194	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.9748	50.0409383260011	5096669.52809768	16.4907	993.657154243429	19667158.1914452	17.4446	18.0870000000001	27.9943999999999	18.2853999999998	15.0808	21.7358	22.6846	NA
1999-03-05	20.2959233456438	125.359571991198	295.778589357444	713.520680646173	89.2654907103431	37.4201167490394	1608010.44622709	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.4445	53.0232465815452	4796890.80273508	16.8007	1064.79758356009	18211740.8486206	17.8862	18.4886000000001	28.6394999999999	18.5638999999998	15.3391	22.2292	23.3728	NA
1999-03-08	20.1156366018279	125.374210379558	291.730092641801	705.16867626854	89.7795018034083	37.9545096601196	1587072.43097301	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5384	55.3793126240534	4608957.53336211	17.0419	1043.13089418562	18631342.2903637	17.7647	18.5919000000001	29.4650999999999	18.6495999999998	15.1641	22.2539	23.4747	NA
1999-03-09	20.1946987252779	124.014057239483	290.323788555315	708.297907046874	89.5850872900969	37.7664950371117	1601815.21675005	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.4132	53.4954313725016	4768147.03105604	16.8582	1064.68553218411	18223032.9417334	17.9083	18.6837000000001	29.1554999999999	18.6709999999998	15.1225	22.0812	23.5384	NA
1999-03-10	19.9616477895637	124.25211909527	282.511639449509	702.413192822764	90.0810518687217	38.2148711065227	1580150.84990737	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6115	62.5254457686755	3965209.38175599	17.8228	1124.47539532306	17206470.3706224	18.2395	18.6493000000001	29.1554999999999	18.4674999999998	15.0725	22.2786	23.4747	NA
1999-03-11	20.0486851068649	123.913784784256	281.299011806755	690.777407248934	90.8451743347905	38.1562831701492	1584435.89243813	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.768	65.020019419718	3803548.17632132	18.0754	1136.27118802111	16973152.7148247	18.3278	18.6723000000001	29.1038999999999	18.6495999999998	15.1891	22.4266	23.7296	NA
1999-03-12	19.9631417613053	124.08342432763	277.565185293313	693.164925117404	90.6368402052833	37.3963759304564	1615517.16752154	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7054	64.2635918654076	3853627.43222164	18.0065	1139.27965677062	16966663.8784188	18.3609	18.7297000000001	28.8458999999999	18.8102999999998	15.3558	22.3032	23.8315	NA
1999-03-15	19.9956425434797	125.68064730636	269.432562321421	678.342720377891	91.5288967920438	38.0834619337156	1586171.3912469	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7367	62.6657311503433	3953898.81749772	17.8687	1151.62994723673	16771397.5244829	18.4161	18.6837000000001	29.3102999999999	18.9709999999998	15.3974	22.3773	23.8825	NA
1999-03-16	20.081866462361	127.291746288092	269.683123494813	678.471244585108	91.4749071194434	37.6719509043278	1597535.0610371	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6741	61.7148537405693	4022802.01131196	17.7768	1106.48739660816	17427827.8804679	18.1512	18.5575000000001	29.8133999999999	19.0566999999998	15.3391	22.3279	23.7551	NA
1999-03-17	19.7822054057172	126.832376008998	272.252890562759	686.158341250976	90.8845853580534	37.5457459781555	1600704.66845067	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6324	66.4189738476748	3724345.679713	18.2362	1083.00232681617	17824931.2247649	17.9966	18.5231000000001	29.6198999999999	18.7352999999998	15.1975	22.2046	23.6531	NA
1999-03-18	19.856170660308	125.341747254904	268.467321300054	667.199257670896	92.2001067342198	37.7913409266302	1586475.48359603	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.9455	68.8442618417544	3585700.2630249	18.4659	1147.36895885823	16629167.2556722	18.4161	18.5690000000001	30.0326999999999	19.0566999999998	15.4224	22.513	24.0609	NA
1999-03-19	20.0707699312665	125.355373682057	265.467025353977	684.852023001888	91.0021201536496	36.9323508659289	1624079.38831342	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.9643	66.7082233949537	3692464.85340545	18.2787	1087.5196295269	17461520.9249111	18.0665	18.6844000000001	29.3102999999999	18.9722999999998	15.1381	22.4143	23.7298	NA
1999-03-22	20.249341501717	125.496911765585	269.333289655686	688.103176110973	90.8502738776742	36.1450367438038	1663680.89645524	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.0062	68.1529425399137	3609894.63673233	18.394	1095.30173305615	17335472.9793971	18.1108	18.5461000000001	29.3102999999999	18.9615999999998	15.1884	22.3526	23.4747	NA
1999-03-23	20.2681608068382	123.921737330662	269.949017032213	724.463857590703	88.42173362884	33.4452614162131	1789549.58169274	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6292	64.5368057479529	3801870.49978837	18.0713	997.284129004209	18981259.3427968	17.4909	18.1084000000001	28.4588999999999	18.4249999999998	14.7104	21.7358	22.7602	NA
1999-03-24	20.2163368328575	122.828796340136	265.693088652597	717.143315954374	88.8795936446252	33.7322272330508	1774856.85024428	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6397	63.85443030174	3855776.23707715	17.9791	988.403302397486	19035174.1461499	17.4466	18.0623000000001	29.0135999999999	18.4142999999998	14.9116	21.8345	22.5816	NA
1999-03-25	20.3883413495383	124.616609908342	270.029948305431	691.331412541499	90.3821318088797	36.0558599065227	1656578.69830465	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.692	64.3133833824946	3827353.70563446	18.0252	1056.56003830506	17808022.0905579	17.8451	18.2581000000001	29.6972999999999	18.5537999999998	14.8613	22.2046	23.2706	NA
1999-03-26	20.8213803707494	126.443884678553	284.11338430107	697.818833594427	89.8870880583793	36.3649056951725	1652989.71595387	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5768	66.6868786569263	3682106.03789467	18.2557	1033.50091964181	18250082.8009772	17.6901	18.3042000000001	29.5424999999999	18.4893999999998	14.6684	22.0319	23.1175	NA
1999-03-29	20.9399470842417	129.765245283574	278.792405817554	669.121157748196	91.807107358098	37.9715254313352	1579322.5556512	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8177	72.4503794718962	3383722.57478882	18.7628	1096.76846822444	17287235.3536061	18.0886	18.6037000000001	30.6519999999999	18.7254999999998	14.593	22.3032	23.6788	NA
1999-03-30	20.861390526069	132.670920933464	281.304579507049	678.276527693887	91.1562765879552	37.7608305317806	1592401.48255522	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7863	68.4025456874374	3572500.83081722	18.417	1067.25326536477	17694044.6555305	17.8783	18.5922000000001	30.6003999999999	18.5644999999998	14.3581	22.2292	23.7043	NA
1999-03-31	20.7291543582338	130.120105065905	270.060749226763	691.970093858376	90.1586634834914	37.5026884202566	1619169.21123414	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.5768	65.2045872800382	3738115.91189069	18.1404	1025.39705435383	18210428.0905863	17.668	18.3849000000001	30.2132999999999	18.1566999999998	14.3246	22.1059	23.3471	NA
1999-04-01	20.8263598343975	129.620853064641	274.235634486468	683.424595528282	90.6797718484934	37.8848002915187	1600686.36876501	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7444	64.92458632598	3743573.11062517	18.1174	1030.71537201186	18122939.3078828	17.7123	18.5807000000001	30.6906999999999	18.1888999999998	14.6265	22.1059	23.3216	NA
1999-04-02	20.8263598343975	129.941022848108	276.098112957903	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1999-04-05	20.9802486456651	128.097575865177	284.720590208588	655.57103830512	92.6025332739203	38.8354957160014	1555671.02177884	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.9224	69.7114234677318	3476125.39700664	18.5553	1094.37191845864	17076478.7443111	18.0665	18.9839000000001	31.7484999999999	18.2854999999998	14.7439	22.5993	23.6278	NA
1999-04-06	20.6441126378899	129.340784150328	277.415994769861	658.214067090161	92.3842839756734	38.4500088891695	1566940.42300602	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.6606	67.4334976968653	3586258.68513128	18.3709	1075.5360728334	17413185.8134613	17.9337	18.8802000000001	32.0193999999999	18.0815999999998	14.6684	22.624	23.7554	NA
1999-04-07	20.7917676771854	127.719414843127	280.360977847834	649.776390525848	93.0210199434295	37.5763288603458	1607895.79292111	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.8177	65.4278443745753	3699808.85312541	18.1865	1159.91373224486	16005029.3993313	18.4208	18.9147000000001	31.9419999999999	18.0601999999998	14.8613	23.0557	23.9595	NA
1999-04-08	20.3977602208424	128.716762659215	278.247858268643	633.307345306552	94.2234703125486	38.1813441281321	1579902.20242987	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.0271	67.2053886522072	3585297.75685461	18.3709	1222.2580179426	15110691.3456389	18.7529	19.0184000000001	32.2516999999999	18.4786999999998	15.2555	23.2901	24.4953	NA
1999-04-09	20.5838454904811	126.756594628015	279.759944579074	629.626841780581	94.536697207588	39.7891874674382	1507567.20972242	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.9538	71.136330910803	3382387.80957103	18.7167	1207.7449963547	15279678.8667394	18.7086	19.0299000000001	32.2000999999999	18.5215999999998	15.1465	23.3641	24.725	NA
1999-04-12	20.4090960191614	125.270486486813	272.668281538652	619.196213671643	95.2632263571076	41.7644767693861	1440009.64165549	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.3937	72.8580068388485	3302506.51096788	18.855	1258.39872715032	14493763.1425749	19.0407	19.4907000000001	31.7097999999999	18.8327999999998	15.3645	23.9563	24.9291	NA
1999-04-13	20.5692376262164	124.516492954071	271.56525874398	626.706257741142	94.6549162004266	43.3349227799183	1388436.87769031	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.5821	72.6200496131124	3316229.79606835	18.8319	1253.56379840033	14568703.4643543	19.0185	19.6405000000001	31.2195999999999	18.8971999999998	15.1129	23.7095	24.8015	NA
1999-04-14	20.5220467382861	124.074535664476	263.752040665189	646.319030986934	93.16740180017	43.3273073192801	1389430.52050005	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.3361	70.0853103048714	3435851.82991182	18.6014	1209.58812202088	15045859.5573611	18.775	20.0667000000001	30.4455999999999	18.3283999999998	14.8949	23.4875	24.2402	NA
1999-04-15	20.8480169522894	122.498377626589	265.971478559957	651.698270762845	92.7840036213839	43.5620588143966	1384886.94812037	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.9644	79.1678471892297	2993180.14979158	19.4082	1175.23870246094	15456825.163331	18.5979	20.5851000000001	30.7035999999999	17.8776999999998	15.0458	22.8954	24.1891	NA
