Index	Symbol	Name
^GSPC	GT	Goodyear Tire & Rubber
^GSPC	GWW	Grainger (W.W.) Inc.
^GSPC	HAL	Halliburton Co.
^GSPC	HBI	Hanesbrands Inc
^GSPC	HOG	Harley-Davidson
^GSPC	HAR	Harman Int'l Industries
^GSPC	HRS	Harris Corporation
^GSPC	HIG	Hartford Financial Svc.Gp.
^GSPC	HAS	Hasbro Inc.
^GSPC	HCA	HCA Holdings
^GSPC	HCP	HCP Inc.
^GSPC	HP	Helmerich & Payne
^GSPC	HES	Hess Corporation
^GSPC	HPE	Hewlett Packard Enterprise
^GSPC	HOLX	Hologic
^GSPC	HD	Home Depot
^GSPC	HON	Honeywell Int'l Inc.
^GSPC	HRL	Hormel Foods Corp.
^GSPC	HST	Host Hotels & Resorts
^GSPC	HPQ	HP Inc.
^GSPC	HUM	Humana Inc.
^GSPC	HBAN	Huntington Bancshares
^GSPC	IDXX	IDEXX Laboratories
^GSPC	ITW	Illinois Tool Works
^GSPC	ILMN	Illumina Inc
^GSPC	IR	Ingersoll-Rand PLC
^GSPC	INTC	Intel Corp.
^GSPC	ICE	Intercontinental Exchange
^GSPC	IBM	International Business Machines
^GSPC	IP	International Paper
^GSPC	IPG	Interpublic Group
^GSPC	IFF	Intl Flavors & Fragrances
^GSPC	INTU	Intuit Inc.
^GSPC	ISRG	Intuitive Surgical Inc.
^GSPC	IVZ	Invesco Ltd.
^GSPC	IRM	Iron Mountain Incorporated
^GSPC	JEC	Jacobs Engineering Group
^GSPC	JBHT	J. B. Hunt Transport Services
^GSPC	SJM	JM Smucker
^GSPC	JNJ	Johnson & Johnson
^GSPC	JCI	Johnson Controls International
^GSPC	JPM	JPMorgan Chase & Co.
^GSPC	JNPR	Juniper Networks
^GSPC	KSU	Kansas City Southern
^GSPC	K	Kellogg Co.
^GSPC	KEY	KeyCorp
^GSPC	KMB	Kimberly-Clark
^GSPC	KIM	Kimco Realty
^GSPC	KMI	Kinder Morgan
^GSPC	KLAC	KLA-Tencor Corp.
^GSPC	KSS	Kohl's Corp.
^GSPC	KHC	Kraft Heinz Co
^GSPC	KR	Kroger Co.
^GSPC	LB	L Brands Inc.
^GSPC	LLL	L-3 Communications Holdings
^GSPC	LH	Laboratory Corp. of America Holding
^GSPC	LRCX	Lam Research
^GSPC	LEG	Leggett & Platt
^GSPC	LEN	Lennar Corp.
^GSPC	LVLT	Level 3 Communications
^GSPC	LUK	Leucadia National Corp.
^GSPC	LLY	Lilly (Eli) & Co.
