Symbol	Description
CJP	Ishares Japan Fund Idx E
CJP.A	Ishares Japan Fund Idx E
CJR.B	Corus Entertainment Inc.
CJT	Cargojet Inc.
CJT.A	Cargojet Inc. Variable V
CJT.DB.A	Cargojet Inc 6.5 Pct Deb
CJT.DB.B	Cargojet Inc 5.5 Pct Deb
CKE	Chinook Energy Inc.
CKI	Clarke Inc
CLF	Ishares 1-5 Yr Ladder Go
CLF.A	Ishares 1-5 Yr Ladder Go
CLG	Ishares 1-10 Yr Ladder G
CLG.A	Ishares 1-10Yr Ladder Go
CLL	Connacher Oil
CLO	Ishares Oil Sands Idx Et
CLO.A	Ishares Oil Sands Idx Et
CLR	Clearwater Seafoods Inco
CLS	Celestica Inc. Sv
CLU	Ishares US Fundamental I
CLU.A	Ishares US Fundamental I
CLU.B	Ishares US Fundamental I
CLU.C	Ishares US Fundamental I
CM	Canadian Imperial Bank O
CM.PR.D	CDN Imp Bank Ser 26
CM.PR.E	Cibc Pr.A Ser 27
CM.PR.G	CDN Imp Bank of Com. Cl
CM.PR.O	Cibc Pref Ser 39
CMG	Computer Modelling Group
CMH	Carmanah Technologies Co
CML	Canickel Mining Limited
CMR	Ishares Premium Money Ma
CMW	Ishares Sp TSX Global Mi
CMW.A	Ishares Sp TSX Global Mi
CMZ.UN	Compass Income Fund
CNE	Canacol Energy Ltd
CNE.DB	Canacol Energy Ltd 8 Ptc
CNL	Continental Gold Ltd
CNQ	CDN Natural Res
CNR	Canadian National Railwa
CNU	Cnooc Limited
COM	Cardiome Pharma Corp
COP	Coro Mining Corp.
COS	Canadian Oil Sands Limit
COW	Ishares Global Agri Inde
COW.A	Ishares Global Agri Inde
COX.UN	Coxe Commodity Strategy
CP	Canadian Pacific Railway
CPD	Ishares Sp TSX CDN Pref
CPD.A	Ishares Sp TSX CDN Pref
CPF.UN	CDN 50 Adv Pref Sh Fd
CPG	Crescent Point Energy Co
CPI	Condor Petroleum Inc
CPN	Carpathian Gold Inc.
CPT	Coalspur Mines Limited
CPW.DB	Capstone Power Corp 6.75
CPX	Capital Power Corporatio
CPX.PR.A	Capital Power Corporatio
CPX.PR.C	Capital Power Corp Pref
CPX.PR.E	Capital Power Corporatio
CQE	Cequence Energy Ltd.
CR	Crew Energy Inc
CRG	Corona Gold Corp
CRH	CRH Medical Corporation
CRJ	Claude Res
CRK	Crocodile Gold Corp
CRK.WT	Crocodile Gold Corp Warr
CRP	Ceres Global Ag Corp.
CRP.RT	Ceres Global Ag Corp Rig
CRQ	Ishares  Canadian Fundam
CRQ.A	Ishares CAD Fundamental
CRR.DB.C	Crombie REIT 5.75 Debs
CRR.DB.D	Crombie REIT 5 Pct Debs
CRR.DB.E	Crombie REIT 5.25 Pct De
CRR.UN	Crombie Real Estate Inve
CRT.UN	Ct Real Estate Investmen
CS	Capstone Mining Corp.
CSB.UN	Canadian Banc Capital Se
CSD	Ishares Adv Short Dur Hi
CSD.A	Ishares Adv Short Durati
CSE	Capstone Infrastructure
CSE.DB.A	Capstone Infrastructure
CSE.PR.A	Capstone Infrastructure
CSH.DB.B	Chartwell Retirement Res
CSH.UN	Chartwell Retirement Res
CSS	Contrans Group Inc.
CSU	Constellation Software I
CSU.RT	Constellation Software I
CSW.A	Corby Spirit and Wine Lt
CSW.B	Corby Spirit and Wine Lt
CSY	Can 60 Income Corp
CTC	Canadian Tire Corporatio
CTC.A	Canadian Tire Corporatio
CTF.UN	Citadel Income Fund
CTU.A	Le Chateau Inc. Cl A.
CTY	Calian Technologies Ltd.
CU	Canadian Utilities Ltd.
CU.PR.C	Canadian Utilities Limit
CU.PR.D	Canadian Utilities Ltd P
CU.PR.E	Canadian Utilities Ltd P
CU.PR.F	Canadian Utilities Ltd P
CU.PR.G	Canadian Utilities Ltd P
CU.X	CDN Util Cl B
CUD	Ishares Sp US Div Grower
CUD.A	Ishares Sp US Div Grower
CUF.DB.D	Cominar REIT 6.50 Debs
CUF.DB.E	Cominar REIT 5.75 Debs S
CUF.UN	Cominar R E Un
CUM	Copper Mountain Mining C
CUP.U	Caribbean Util US
CUR	Diagnocure Inc J
CUS	Canexus Corporation
CUS.DB.A	Canexus Corp 5.75 Pct Se
CUS.DB.B	Canexus Corp 5.75 Pct Se
CUS.DB.C	Canexus Corp 6.00 Pct Co
CUS.DB.D	Canexus Corp 6.5 Pct Deb
CUV	Curis Resources Ltd
CVD	Ishares Convertible Bond
CVD.A	Ishares Convertible Bond
CVE	Cenovus Energy Inc.
CVG	Clairvest Group
CVI.A	Calvalley Petroleum Inc.
CVL	Cervus Equipment Corpora
CVL.DB	Cervus Equipment Corp 6
CWB	CDN Western Bank
CWB.PR.B	Canadian Western Bank Pr
CWF	CDN World Fund
CWI	Crosswinds Holdings Inc
CWL	Caldwell Partners Intern
CWO	Ishares Emg Mkts Fundame
CWO.A	Ishares Emg Mkts Fundame
CWT.DB.B	Calloway REIT 5.75 Conv
CWT.UN	Calloway Real Estate Inv
CWW	Ishares Sp Global Water
CWW.A	Ishares Sp Global Water
CWX	Canwel Building Material
CWX.DB	Canwel Building Material
CXA.B	Cons Hci Cl B
CXF	First Asset CDN Convert
CXF.A	First Asset CDN Convert
CXI	Currency Exchange Intern
CXN	Chalice Gold Mines Limit
CXR	Concordia Healthcare Cor
CXS	Counsel Corp
CYB	Cymbria Corporation Cl A
CYH	Ishares Global Monthly D
CYH.A	Ishares Global Monthly D
CYT	Catalyst Paper Corporati
CZN	CDN Zinc Corp J
CZQ	Continental Precious Min
D.DB.H	Dream Office REIT 5.50 P
D.UN	Dream Office REIT
DA.A	Discovery Air Inc.
DA.DB.A	Discovery Air Inc 8.375
DBO	Dbox Technologies Inc
DC.A	Dundee Corp. Cl.A Sv
DC.DB	Dundee Corp. 5.85% Debs
DC.PR.B	Dundee Corp First Pref S
DC.PR.C	Dundee Corp Pref Series
DC.PR.D	Dundee Corp Pref Series
DCD.UN	First Asset Diversified
DCF	Difference Capital Finan
DCF.DB	Difference Cap Financial
DCI	Directcash Payments Inc.
DDC	Dominion Diamond Corpora
DEE	Delphi Energy Corp.
DEJ	Dejour Energy Inc
DEN	Dundee Energy Limited
DF	Dividend 15 Split Corp.
DF.PR.A	Dividend 15 Split Corp.
DFN	Dividend 15 Split Corp
DFN.PR.A	Dividend 15 Split Corp.
DGC	Detour Gold Corporation
DGI	Data Group Ltd
DGI.DB.A	Data Group Ltd 6 Pct Deb
DGS	Dividend Growth Split Co
DGS.PR.A	Dividend Growth Split Co
DH	Dh Corporation
DH.DB	Dh Corporation 6.00 Pct
DHX	Dhx Media Ltd.
DHX.A	Dhx Media Ltd Class A
DHX.B	Dhx Media Ltd Class B
DII.A	Dorel Industries Inc. C
DII.B	Dorel Industries Inc. C
DII.DB.U	Dorel Industries Inc 5.5
DIN.DB	Dir Industrial Propertie
DIR.DB	Dream Industrial REIT 5.
DIR.UN	Dream Industrial REIT
DIV	Diversified Royalty Corp
DL	Danier Leather Inc. Sv
DLR	Horizons US Dollar Curre
DLR.U	Horizons US Dollar Curre
DM	Duluth Metals Limited
DM.U	Duluth Metals Limited U
DML	Denison Mines Corp.
DMM	Dynasty Metals
DMN.PR.A	Dominion Citrus Ltd
DNA	Dalradian Resources Inc.
DNA.WT	Dalradian Resources Inc
DNA.WT.A	Dalradian Resources Inc
DND	Cipher Pharmaceuticals I
DNG	Dynacor Gold Mines Inc
DNT	Candente Copper Corp
DOL	Dollarama Inc
DOM.UN	Dominion Citrus Income F
DOO	Brp Inc
DPM	Dundee Precious Metals I
DPM.WT.A	Dundee Precious Metals I
DR	Medical Facilities Corp
DR.DB.A	Medical Facilities Corp
DRA.UN	Dream Hard Asset Alterna
DRG.DB	Dream Global REIT 5.5 PC
DRG.UN	Dream Global REIT
DRM	Dream Unlimited Corp
DRM.PR.A	Dream Unlimited Corp Pre
DRN	Delrand Resources Limite
DRT	Dirtt Environmental Solu
DRX	Adf Group Inc. Sv
DS	Dividend Select 15 Corp.
DS.RT	Dividend Select 15 Corp
DSG	Descartes Sys
DSL.UN	Doubleline Income Soluti
DTX	Deethree Exploration Ltd
DW	Datawind Inc
DWI	Dragonwave Inc.
DWI.WT	Dragonwave Inc Wts
DXM	F A Morningstar Cda Div
DXM.A	F A Morningstar Cda Div
E	Enterprise Group Inc
E.WT	Enterprise Group Inc Wts
EBC.UN	Europe Blue Chip Div and
EBF.UN	European Strategic Balan
EBT.UN	Euro Banc Capital Securi
ECA	Encana Corp.
ECF.UN	East Coast Invest Grade
ECI	Enercare Inc.
ECI.DB	Enercare Inc. 6.25 Pct D
ECI.R	Enercare Inc Sub Receipt
ECO	Ecosynthetix Inc
ECP	Ecopetrol S.A.
EDR	Endeavour Silver Corp.
EDV	Endeavour Mining Corp
EE	Exall Energy Corporation
EE.DB	Exall Energy Corp 7.75 P
EFH	Egi Financial Holdings I
EFL	Electrovaya Inc.
EFN	Element Financial Corp
EFN.DB	Element Financial Corp 5
EFN.PR.A	Element Financial Corp P
EFN.PR.C	Element Financial Corp P
EFN.PR.E	Element Financial Corp P
EFR	Energy Fuels Inc.
EFR.DB	Energy Fuels Inc Debs
EFX	Enerflex Ltd
EGL.UN	Eagle Energy Trust
EGZ	Energizer Resources Inc
EH	Easyhome Ltd.
EIF	Exchange Income Corporat
EIF.DB.B	Exchange Income Corp 6.5
EIF.DB.C	Exchange Income Corp 5.7
EIF.DB.D	Exchange Income Corp 6.2
EIF.DB.E	Exchange Income Corp 5.5
EIF.DB.F	Exchange Income Corp 5.3
EIF.DB.G	Exchange Income Corp 6.0
EIT.UN	Canoe Eit Income Fund Un
EIT.WT.E	Canoe Eit Income Fund Wt
ELA.UN	Excel Latin America Bond
ELB.UN	Excel Latin America Bond
ELD	Eldorado Gold
ELF	E-L Financial
ELF.PR.F	E-L Financial Corp. Ltd.
ELF.PR.G	E- L Financial Corp. Lim
ELF.PR.H	E - L Financial Corp Ltd
ELR	Eastern Platinum Limited
ELV	Powershares Sp Emg Mkts
EMA	Emera Incorporated
EMA.PR.A	Emera Inc Series A Pref
EMA.PR.C	Emera Inc Pref Sh Series
EMA.PR.E	Emera Inc Pref Series E
EMA.PR.F	Emera Inc Series F Pref
EMC	EMC Metals Corp.
EMD	Emed Mining Public Ltd
EMP.A	Empire Company Ltd. Cl.
EMY.UN	Next Edge Glg Emerg Mkts
ENB	Enbridge Inc
ENB.PF.A	Enbridge Inc Pref Series
ENB.PF.C	Enbridge Inc Pref Series
ENB.PF.E	Enbridge Inc Pref Series
ENB.PF.G	Enbridge Inc Pref Series
ENB.PF.U	Enbridge Inc Preferred S
ENB.PF.V	Enbridge Inc Pref Series
ENB.PR.A	Enbridge Pr
ENB.PR.B	Enbridge Inc Cum Redeem
ENB.PR.D	Enbridge Inc Pref Ser D
ENB.PR.F	Enbridge Inc Pref Ser F
ENB.PR.H	Enbridge Inc Preferred S
ENB.PR.J	Enbridge Inc Pref Ser 7
ENB.PR.N	Enbridge Inc Pref Ser N
ENB.PR.P	Enbridge Inc Pref Ser P
ENB.PR.T	Enbridge Inc Pref Ser R
ENB.PR.U	Enbridge Inc Pref Sh Ser
ENB.PR.V	Enbridge Inc Pref Ser 1
ENB.PR.Y	Enbridge Inc Cum Red Pre
ENF	Enbridge Income Fund Hol
ENF.R	Enbridge Income Fd Hldg
ENI.UN	Energy Income Fund
ENL	Endo International Plc
ENT	Entrec Corporation
ENT.DB	Entrec Corporation 7 Pct
EOM	Eco Oro Minerals Corp
EPS	Epsilon Energy Ltd.
EPS.DB	Epsilon Energy Ltd 7.75
EQ	Eq Inc
EQB	Equitable Group Inc
EQB.PR.C	Equitable Group Inc Pref
EQI	Equity Financial Holding
