Symbol	Description
ASL	Ausdrill Ltd
ASP	Aspermont Ltd
AST	Ausnet Services
ASW	Advanced Share Registry Ltd
ASX	Australian Stock Exchange Ltd
ASXKOC	Asx Limited
ASXKOF	Asx Limited
ASXKOG	Asx Limited
ASXKOQ	Asx Limited
ASXKOR	Asx Limited
ASZ	ASG Group Ltd
ATI	Atlantic Ltd
ATM	Aneka Tambang (Persero) Tbk (Indo)
ATP	Atlas Pacific Ltd
ATR	Astron Ltd
ATU	Atrum Coal Nl
AUB	Austbrokers Holdings Ltd
AUC	Ausgold Limited
AUCO	Ausgold Limited
AUF	Asian Masters Fund Ltd
AUI	Australian United Investment Ltd
AUK	Augur Resources Ltd
AUP	Aurora Property Income Trust
AUQ	Alara Uranium Ltd
AUZ	Australian Mines Ltd
AVB	Avanco Resources Ltd
AVD	Advance Energy Ltd
AVG	Australian Vintage Ltd t/over by SWS
AVH	Avita Medical Ltd
AVI	Avalon Minerials Ltd
AVJ	AV Jennings Homes Ltd
AVK	Argentina Mining Limited
AVKO	Argentina Mining Limited
AVKOA	Argentina Mining Limited
AVQ	Axiom Mining Ltd
AVX	Avexa Ltd
AVZ	Avonlea Minerals Ltd
AWC	Alumina Ltd
AWCKOA	Alumina Limited
AWCKOC	Alumina Limited
AWCKOD	Alumina Limited
AWCKOE	Alumina Limited
AWCKOG	Alumina Limited
AWCKOL	Alumina Limited
AWCKOR	Alumina Limited
AWCKOT	Alumina Limited
AWCKOV	Alumina Limited
AWCKOW	Alumina Limited
AWD	Aleator Energy Limited
AWDO	Aleator Energy Limited
AWE	Australian Worldwide Exploration Ltd
AWEKOA	Awe Limited
AWEKOC	Awe Limited
AWEKOD	Awe Limited
AWEKOE	Awe Limited
AWEKOP	Awe Limited
AWEKOQ	Awe Limited
AWEKOS	Awe Limited
AWI	Australasian Wealth Investments Limited.
AWN	Arowana International Limited
AWO	Ardent Resources Ltd
AWV	Anova Metals Limited
AWW	Antares Mining Limited
AXC	AXG Mining Ltd
AXE	Archer Exploration Ltd
AXI	Axiom Properties Ltd
AXT	Argo Exploration Ltd
AXZ	AMEX Resources Ltd
AYA	Attila Resources Limited
AYB	Australian Natural Proteins Limited
AYC	A1 Consolidated Gold Limited
AYD	Australian Masters Yield Fund No 1 Limited
AYF	Australian Enhanced Income Fund
AYG	AYG
AYH	Australian Masters Yield Fund No 2 Limited
AYI	A1 Investments & Resources Ltd
AYJ	Australian Masters Yield Fund No 3 Limited
AYK	Australian Masters Yield Fund No 4 Limited
AYM	Altius Mining Limited
AYN	Alcyone Resources Ltd
AYNO	Alcyone Resources Ltd
AYNOA	Alcyone Resources Ltd
AYR	Alloy Resources Ltd
AYUHA	Australian Unity Limited
AZC	Australian Zircon NL
AZCCA	Australian Zircon NL
AZG	Allmine Group Limited
AZJ	Aurizon Holdings Limited
AZJKOA	Aurizon Holdings Limited
AZJKOC	Aurizon Holdings Limited
AZJKOF	Aurizon Holdings Limited
AZJKOQ	Aurizon Holdings Limited
AZJKOR	Aurizon Holdings Limited
AZJKOS	Aurizon Holdings Limited
AZJKOZ	Aurizon Holdings Limited
AZK	Aziana Limited
AZM	Azumah Resources Ltd
AZQ	Ascot Resources Limited
AZS	Azure Minerals Ltd
AZV	Azure Healthcare Limited
AZY	Antipa Minerals Limited
AZYOA	Antipa Minerals Limited
AZZ	Antares Energy Ltd
AZZG	Antares Energy Ltd
BAB	Bullabulling Gold Limited
BAF	Blue Sky Alternatives Access Fund Limited
BAFO	Blue Sky Alternatives Access Fund Limited
BAL	Bellamys Australia Limited
BAP	Burson Group Limited
BAR	Barra Resources ltd
BAS	Bass Strait Oil Company Ltd
BAU	Bauxite Resources Ltd
BBG	Billabong International Ltd
BBL	Brisbane Broncos Ltd
BBR	Bora Bora Resources Limited
BBX	BBX Holdings Ltd
BCC	Buccaneer Energy Ltd
BCD	Beaconsfield Gold NL
BCI	BC Iron Ltd
BCK	Brockman Mining Limited
BCN	Beacon Minerals Ltd
BCNO	BCNO
BCS	Brisconnections Unit Trusts
BCT	Bluechiip Limited
BDI	Blina Diamonds NL
BDR	Beadell Resources Ltd
BDRKOA	Beadell Resources Limited
BDRKOI	Beadell Resources Limited
BDRKOK	Beadell Resources Limited
BEAR	BEAR
BEL	Bentley International Ltd
BEN	Bendigo Bank Ltd
BENHB	Bendigo And Adelaide Bank Limited
BENKOC	Bendigo And Adelaide Bank Limited
BENKOD	Bendigo And Adelaide Bank Limited
BENKOE	Bendigo And Adelaide Bank Limited
BENKOT	Bendigo And Adelaide Bank Limited
BENKOU	Bendigo And Adelaide Bank Limited
BENKOV	Bendigo And Adelaide Bank Limited
BENPB	Bendigo Bank Ltd
BENPC	Bendigo Bank Ltd
BENPD	Bendigo And Adelaide Bank Limited
BENPE	Bendigo And Adelaide Bank Limited
BER	Berklee Ltd
BEZ	Besra Gold Inc
BFE	BLack Fire Energy Ltd
BFG	Bell Financial Group Ltd
BGA	Bega Cheese Limited
BGD	Boulder Steel Ltd
BGG	Blackgold International Holdings Limited
BGGO	Blackgold International Holdings Limited
BGH	Bligh Resources Limited
BGL	Bigair Group Ltd
BGS	Birimian Gold Limited
BHP	BHP Billiton Ltd
BHPKOB	Bhp Billiton Limited
BHPKOH	Bhp Billiton Limited
BHPKOJ	Bhp Billiton Limited
BHPKOM	Bhp Billiton Limited
BHPKON	Bhp Billiton Limited
BHPKOQ	Bhp Billiton Limited
BHPKOS	Bhp Billiton Limited
BHPKOT	Bhp Billiton Limited
BHPKOU	Bhp Billiton Limited
BHPKOV	Bhp Billiton Limited
BHPKOW	Bhp Billiton Limited
