Symbol	Description
TME	Trade Me Group Limited
TNZ	SmartTENZ
TPI	Transpacific Industries Group Ltd
TPW	TrustPower
TPW070	TPW 15/12/15 8.4% - TrustPower
TPW080	TPW 15/12/14 7.6% - TrustPower
TPW090	TPW 15/12/16 8.0% - TrustPower
TPW100	TPW 15/12/17 7.10% - TrustPower
TPW110	
TRP010	
TRP020	
TRS	E-cademy Holdings
TTK	TeamTalk
TUA	Turners Auctions
TUR	Turners and Growers
TWR	Tower Ltd
UOC010	UOC 15/12/19 7.25% - University of Canterbury
VCT	Vector
VCT050	VCT 15/10/14 7.50% Vector
VCT070	
VET	Vetilot Limited Ordinary Shares
VGL	Vista Group International Limited Ordinary Shares
VHP	Vital Healthcare Property Trust Units
VIL	Veritas Investments Limited
VML	VMob Group Limited Ordinary Shares
WBC	Westpac Banking Corporation
WDT	Wellington Drive Technologies
WHS	The Warehouse Group
WHS010	WHS 15/06/15 7.30% - The Warehouse Group
WIA020	
WKSHA	
WTL	Windflow Technology
WYN	Wynyard Group Limited
XRO	Xero Live
ZEL	Z Energy Limited
ZEL010	ZEL 15/10/16 7.35 - Z Energy Ltd Bonds
ZEL020	ZEL 15/08/18 7.25 - Z Energy Ltd Bonds
ZEL030	
ZXV	NZSX 15 Index
