Symbol	Description
B69	Broadway Industrial Group Ltd
B73	Global Investments Limited
B7K	Sin Ghee Huat Corporation Ltd.
B9S	Cosmosteel Holdings Limited
BN2	Valuetronics Holdings Limited
BN4	Keppel Corporation Limited
BR9	China Hongxing Sports Limited
BS6	Yangzijiang Shipbldg Hldgs Ltd
C03	China Merchants Prop Devtcoltd
C04	Casa Holdings Limited
C05	Chemical Industries (f.e.) Ltd
C06	Csc Holdings Ltd
C07	Jardine Cycle & Carriage Ltd
C09	City Developments Limited
C0Z	China Hongcheng Holdings Ltd
C10	Chosen Holdings Limited
C11	Cei Contract Manufacturing Ltd
C13	Ch Offshore Ltd
C14	Cwt Limited
C22	China Merchants Hldgs(pacific)
c29	Chip Eng Seng Corporation Ltd
C2J	Sunmart Holdings Limited
C2PU	Parkwaylife Reit
C31	Capitaland Limited
C33	Chuan Hup Holdings Limited
C37	China International Hldgs Ltd
C38U	Capitamall Trust
C3T	Uni-asia Finance Corporation
C41	Cortina Holdings Limited
C4P	Liang Huat Aluminium Ltd
C50	Cheung Woh Technologies Ltd
C52	Comfortdelgro Corporation Ltd
C56	Celestial Nutrifoods Limited
C59	China Flexible Pack Hldg Ltd
C60	Amplefield Limited
C61U	Capitacommercial Trust
C68	Mirach Energy Limited
C6L	Singapore Airlines Ltd
C6U	Singapore Airlines Ltd 200
C70	City Developments Ltd Nccps
C71	China Paper Holdings Limited
C76	Creative Technology Ltd
C86	China Sun Biochem Tech Gp Co.
C8R	Jiutian Chemical Group Limited
C92	China Haida Ltd.
C9Q	Sinostar Pec Holdings Limited
CC3	Starhub Ltd
CH8	China Sunsine Chem Hldgs Ltd.
CT1	Avi-tech Electronics Limited
CW4	Lyxor Japan (topix) Fund 10
CX5	Yong Xin Intl Holdings Ltd.
CY6U	Ascendas India Trust
CZ3	Reyphon Agriceutical Limited
CZ4	Dutech Holdings Limited
D01	Dairy Farm Int'l Holdings Ltd
D03	Del Monte Pacific Limited
D04	Datapulse Technology Limited
D05	Dbs Group Holdings Ltd
D07	Spdr Djia Etf Trust
D11	Design Studio Furniture Mfrltd
D1R	Ara Asset Management Limited
D2U	Cacola Furniture Intl Limited
D2V	Changtian Plastic & Chem Ltd
D38	Cdw Holding Limited
D3W	Sinotel Technologies Ltd.
D4N	China New Town Devt Co Limited
D50	China Great Land Holdings Ltd.
D5IU	Lippo Malls Indo Retail Trust
D5N	Z-obee Holdings Limited
D6U	Dynamic Colours Limited
D79	C&g Env Protect Hldgs Ltd
D8DU	First Ship Lease Trust
DC9	Fuxing China Group Limited
DK2	Fibrechem Technologies Ncps
DM0	Psc Corporation Ltd
DT2	China Oilfield Tec Svcs Grpltd
DU4	Mermaid Maritime Public Co Ltd
E02	Eu Yan Sang International Ltd
E13	Ellipsiz Ltd
E16	Elec & Eltek Int Co Ltd
E17	Excelpoint Technology Ltd
E18	Ecs Holdings Limited
E23	Europtronic Group Ltd
E25	8telecom Intl Holdings Co Ltd
E27	Eucon Holding Limited
E28	Frencken Group Limited
E3B	Wee Hur Holdings Ltd.
E5H	Golden Agri-resources Ltd
E5P	The Hour Glass Limited
E6A	Yongmao Holdings Limited
E6R	Samko Timber Limited
E8Z	Roxy-pacific Holdings Limited
E90	China Sky Chem Fibre Co. Ltd.
E91	Courage Marine Group Limited
E94	Lizhong Wheel Group Ltd.
E9A	Li Heng Chem Fibre Tech Ltd
E9L	Joyas International Hldgs Ltd
EB5	First Resources Limited
EB7	Ktl Global Limited
EE6	Mercator Lines (singapore) Ltd
EG0	Jes International Holdings Ltd
EH5	United Overseas Australia Ltd
ER0	Ksh Holdings Limited
ES3	Sti Etf
F01	Freight Links Express Holdings
F03	Food Empire Holdings Limited
F10	F J Benjamin Holdings Ltd
F11	Fung Choi Media Group Limited
F12	Fibrechem Technologies Limited
F13	Fu Yu Corporation Ltd
F17	Guocoland Limited
F18	Full Apex (holdings) Limited
F1E	Low Keng Huat (singapore) Ltd
F20	Federal Int(2000) Ltd
F22	Fischer Tech Ltd
F25U	Fortune Real Estate Inv Trust
F2X	China Taisan Tech Grp Hldgsltd
F31	Fragrance Group Limited
F34	Wilmar International Limited
F3EU	Indiabulls Properties Invtrust
F3V	Sino Construction Limited
F6D	China Fibretech Ltd.
F83	Cosco Corporation (s) Ltd
F86	Cougar Logistics Corpn Ltd
F99	Fraser And Neave Limited
F9D	Boustead Singapore Limited
F9M	Kencana Agri Limited
FO8	Eratat Lifestyle Limited
FP1	Dapai Intl Hldg Co. Ltd.
FQ7	Jasper Investments Limited
FQ8	China Sports Intl Limited
FV2	Hisaka Holdings Ltd.
G07	Great Eastern Hldgs Ltd
G08	Gp Batteries Int Ltd
G0I	Nam Lee Pressed Metal Inds Ltd
G10	Yuexiu Property Co Limited
G11	Global Tech (hldgs) Limited
G13	Genting Singapore Plc
G18	Grp Ltd
G1K	Lyxor Etf Msci Asia Apex 50 10
G1M	Lyxor Etf Msci Malaysia 10
G1N	Lyxor Etf Msci India 10
G1O	Lyxor Commodities Crbnonenergy
G20	Gp Industries Limited
G31	Global Testing Corporation Ltd
G3B	Dbs Singapore Sti Etf
G41	G. K. Goh Holdings Limited
G4F	Otto Marine Limited
G50	Grand Banks Yachts Limited
G54	China Essence Group Ltd.
G5X	Anwell Technologies Limited
G77	Digiland International Ltd
G86	China Milk Products Group Ltd
G92	China Aviation Oil(s) Corp Ltd
GG0	Ocbccapcorp(2008) 5.1%ncps 100
GG7	Hai Leck Holdings Limited
GH3	Asia Fashion Holdings Limited
GJ8	Dukang Distillers Hldgs Ltd
GU5	China Kunda Tech Holdings Ltd
H02	Haw Par Corp Ltd
H06	Hor Kew Corporation Limited
H07	Stamford Land Corporation Ltd
H12	Hotel Royal Ltd
H13	Ho Bee Investment Limited
H15	Hotel Properties Ltd
H16	Huan Hsin Holdings Ltd
H17	Hi-p International Limited
H18	Hotel Grand Central Ltd
H19	Hwa Hong Corporation Limited
H1M	Lyxor Etf Eastern Europe 10
H1N	Lyxor Etf Msci Emerging Mkt 10
H1O	Lyxoretf Msci Em Latin America
H1P	Lyxor Etf Msci World 10
H1Q	Lyxor Etf Nasdaq100 10
H20	Hoe Leong Corporation Ltd.
H22	Hong Leong Asia Ltd.
H27	Hlh Group Limited
H30	Hong Fok Corporation Ltd
H64	Htl Int'l Holdings Limited
H73	Hupsteel Ltd
H78	Hongkong Land Holdings Limited
HD6	Dbxt S&p 500 Short Etf 10
HD7	Dbxt Msci Taiwan Etf 10
HD8	Dbxt Ft China 25 Etf 10
HD9	Dbxt Ftse Vietnam Etf 10
HE0	Dbxt S&p Cnx Nifty Etf 10
i03	Informatics Education Ltd.
i04	Xpress Holdings Ltd
i06	Intraco Limited
i07	Isdn Holdings Limited
i11	Ipco Int'l Limited
I12	Ipc Corporation Limited
i15	Isetan (singapore) Ltd
I17	Ishares S&p500 Ivv 10
I19	Ishares Msci Singapore Ews 100
I21	Ishares Dj Us Tech Iyw 10
i26	Inno-pacific Holdings Ltd
i49	Ifs Capital Limited
I4U	China Gaoxian Fibrefab Hldgltd
I54	Fabchem China Limited
I5H	Great Group Holdings Limited
I85	Hengxin Technology Ltd.
I98	Is Msci India 100
I9T	Ziwo Holdings Ltd.
IH0	Dbxt Euro Stoxx 50 Etf 10
IH1	Dbxt Msci Asia Ex Japan Etf 10
IH2	Dbxt Msci Korea Etf 10
IH3	Dbxt Msci Europe Etf 10
IH4	Dbxt Usd Money Market Etf 5
IW5	Seroja Investments Limited
IX2	Pec Ltd.
J03	Jadason Enterprises Ltd
J0M	Dbxt Msci Emerging Mkts Etf 10
J0N	Dbxt Msci Emg Mkts Asia Etf 10
J0O	Dbxt Msci Brazil Trn Etf 10
J0P	Dbxt Msci World Trn Etf 10
J0Q	Dbxt Msci Pacific Exjap Etf 10
J0R	Dbxt Msci Russia Cap 25 Etf 10
J0S	Dbxt Dblci-oy Balanced Etf 5
J10	Jaya Holdings Ltd
J11	Jacks International Limited
J16	Jel Corporation (holdings) Ltd
J17	Jackspeed Corporation Limited
J18	China Jishan Holdings Limited
J2T	Hock Lian Seng Holdings Ltd
J36	Jardine Matheson Hldgs Ltd
J37	Jardine Strategic Hldgs Ltd
J69U	Frasers Centrepoint Trust
J7X	Tiger Airways Holdings Limited
J85	Cdl Hospitality Trusts
J8O	Ryobi Kiso Holdings Ltd.
J91U	Cambridge Industrial Trust
JA9	Changjiang Fertilizer Hlgs Ltd
JC5	Lyxor Etf Msci Europe 10
JC6	Lyxor Etf Dow Jones Ia 10
JC7	Lyxor Etf Russia 10
JK8	United Sse 50 China Etf
k01	K1 Ventures Limited
K03	Khong Guan Flour Milling Ltd
K11	Keppel Tele & Tran
K14	Kingboard Copper Foil Hdgs Ltd
K17	Keppel Land Limited
K1Q	Ttj Holdings Limited
K22	Kian Ho Bearings Ltd
K29	Karin Technology Hldgs Limited
K2LU	Cache Logistics Trust
K2M	Debao Property Development Ltd
K2N	China Minzhong Food Corp Ltd
K2P	Tiong Seng Holdings Limited
K3CD	China Eastern Air Adr 10
K3DD	Sinopec Petrochemical Adr 10
K3ED	China Telecom Adr 10
K3FD	Huaneng Power Intl Adr 10
K3GD	Yanzhou Coal Mining Adr 10
K3HD	Aluminum Corp Of China Adr 10
K3ID	China Unicom Hk Ltd Adr 10
K3JD	Changyou.com Adr 10
K3KD	Trina Solar Adr 10
K3MD	Netease.com Adr 10
K3ND	Suntech Power Adr 10
K3OD	Petrochina Adr 10
K3PD	Chinamobile Adr 10
K3QD	Mindray Medical Intl Adr 10
K3RD	Ctrip.com International Adr 10
K3SD	Baidu.com Adr 10
K3TD	China Southern Air Adr 10
K3UD	Home Inns & Hotels Adr 10
K6J	Global Palm Resources Hlgs Ltd
K6K	Dbxt S&p500 Etf 10
K6S	Prudential Plc
K6Y	Dbxt Aud Ssa Bonds Etf 5
K71U	K-reit Asia
K75	Koh Brothers Group Limited
KF4	Sin Heng Heavy Machinery Ltd
KF5	Dbxt Usd Ig Infl Treas Etf 5
KF6	Dbxt Iboxx Sov Euro Etf 5
KF7	Dbxt Iboxx Us Treas Etf 5
KF8	Dbxt Msci Usa Etf 10
KI3	Hu An Cable Holdings Ltd.
KJ5	Bbr Holdings (s) Ltd
KJ6	Dbxt Sora Etf 5
KJ7	Dbxt Msci Indonesia Etf 10
KJ9	Cogent Holdings Limited
KT2	Dbxt Iboxx Korea Etf 5
KT3	Dbxt Stoxx Glob Div 100 Etf 10
KT4	Dbxt Csi300 Etf 10
KT9	Qingmei Group Holdings Limited
KU3	Golden Ocean Group Limited
KV4	Dbxt Iboxx Singapore Etf 5
KV5	Dbxt Aud Money Market Etf 5
KV6	Dbxt Aud Mm Etf Usd 5
KV7	Dbxt Aud Mm Etf Sgd 5
KV8	Dbxt Eonia Tr Etf Usd 5
L02	Manhattan Resources Limited
L03	Lian Beng Group Ltd
L05	Lafe Corporation Limited
L07Z	Lta $500m4.17%n160510
L08	Lion Asiapac Ltd
L09	Lung Kee (bermuda) Hldgs Ltd
L10	Lht Holdings Limited
L15	Lindeteves-jacoberg Ltd
L17	Lion Teck Chiang Ltd
L18	Hl Global Enterprises Limited
L19	Lum Chang Holdings Limited
L20	Lifebrandz Ltd.
L22	Lankom Electronics Limited
L23	Enviro-hub Holdings Ltd
L25	Lee Kim Tah Hldgs Limited
L28	Longcheer Holdings Limited
L34	Luxking Group Holdings Limited
L38	L.c.development Ltd
L46	Luzhou Bio-chem Technology Ltd
L5F	Dbxt Dbcbdjubsci Etf 10
L5G	Dbxt Dbcbleb Etf 10
L5I	Abterra Ltd
L6T	Psl Holdings Ltd
LF1	Dbxt S&p/asx 200 Etf 10
LF2	Dbxt Msci Japan Trn Etf 10
LG2U	Treasury China Trust
LG6	Dbxt Msci Malaysia Trn Etf 10
LG7	Dbxt Msci Thailand Trn Etf 10
LG8	Dbxt Msci India Trn Etf 10
LG9	Dbxt Msci China Trn Etf 10
LH4U	K-green Trust
LJ3	Overseas Union Enterprise Ltd
LS9	Leader Environmental Tech Ltd
M01	Metro Holdings Limited
M03	Miyoshi Precision Limited
M04	Mandarin Oriental Intl Ltd
M05	Mtq Corporation Limited
M06	Multi-chem Limited
M09	S I2i Limited
M11	Mfg Integration Technology Ltd
M14	Innotek Limited
M15	Matex International Limited
M1GU	Sabana Shari'ah Compliant Reit
M1P	Amtek Engineering Ltd
M1Z	Tee International Limited
M22	Lottvision Limited
M26	Memtech International Ltd
M30	Meghmani Organics Limited
M35	Wheelock Properties (s) Ltd
M41	Macquarie Int'l Infra Fund Ltd
M44U	Mapletree Logistics Trust
M62	Cimb Ftse Asean40 100
M9F	Xmh Holdings Ltd.
MA6Z	Sia $300m 2.15%b150930
MC0	Global Logistic Prop Limited
MC7	Yamada Green Resources Limited
ME8U	Mapletree Industrial Trust
MF5	Anchun International Hldgs Ltd
MF6	Mun Siong Engineering Limited
MN5	Xinren Aluminum Holdings Ltd
MQ4	Bund Center Investment Ltd
MR7	Nordic Group Limited
MR8	Novo Group Ltd.
MS7	Stx Osv Holdings Limited
MT1	Dragon Group Intl Limited
MT7	Lyxor Etf Asia Real Estate 10
MU7	Dbs S$800m 4.7% Ncps
MV1W	Sinarmas Land Limited Ew151118
MV4	Mewah International Inc.
N01	Neratelecommunications Ltd
N02	Nsl Ltd.
N03	Neptune Orient Lines Limited
N08	New Toyo Int Hldgs Ltd
N0L	Eastgate Technology Ltd
N0Z	Combine Will Intl Hldgs Ltd
N14	M Development Ltd.
N21	Noble Group Limited
N2E	Dbxt Msci Philippines Etf 10
N2F	Dbxt Msci Asia Exjap Hdy Etf10
N2H	Hyflux 6% Cum Pref Class A 10
N2IU	Mapletree Commercial Trust
N32	Nippecraft Limited
N33	Nomura Holdings Inc
N4E	Nam Cheong Limited
N5YD	Mufj Financial Adr 10
N5ZD	Posco Adr 10
N6DD	Mizuho Financial Adr 10
N6ED	Ntt Docomo Adr 10
N6FD	Toyota Motor Adr 10
N6L	Ishares Asia Loc Cur Bond Etf
N6M	Ishares Usd Asia Bond Etf
N9LU	Perennial China Retail Trust
NC2	Sri Trang Agro-industry Pcl
NC3W	Joyas International W160125
NC9	Malaysia Smelting Corp Bhd 100
ND8U	Frasers Commercial Trust
NF1	Sapphire Corporation Limited
NF4	Lyxor Etf Asia Technology 10
NF6	Lyxor Etf Asia Con Stap 10
NI3	Ue E&c Ltd.
NO4	Dyna-mac Holdings Ltd.
NR7	Raffles Education Corp Ltd
NS8U	Hutchison Port Holdings Trust
NT1	Hotung Investment Hldgs Ltd
O02	Ogl Resources Limited
O05	Ocean Sky International Ltd
O08	Ossia International Ltd
O10	Orchard Parade Holdings Ltd
O15	Ocbc Bk 4.2% Ncps
O23	Osim International Ltd
O2F	Swing Media Technology Grp Ltd
O2I	Avic Intl Investments Limited
O2R	Chinasing Investment Hldg Ltd
O31	Ocbc Cap 3.93% S$400m Ncps 10
O32	Olam International Limited
O39	Oversea-chinese Banking Corp
O5RU	Aims Amp Cap Industrial Reit
O6Z	Lonza Group Ltd
O7AW	Nobel Design Holdings W141021
