RIC,Yahoo Symbol,Company Name,Sector,Country,Region,Local Currency,TS Currency
ITC.BO,ITC.BO,ITC,Consumer Staples,India,Asia Pacific,INR,INR
LART.BO,LT.NS,Larsen & Toubro,Industrials,India,Asia Pacific,INR,INR
SBI.BO,SBIN.NS,State Bank of India,Financial Services,India,Asia Pacific,INR,INR
VOLT.BO,VOLTAS.NS,Voltas,Industrials,India,Asia Pacific,INR,INR
BDMN.JK,BDMN.JK,Bank Danamon,Financial Services,Indonesia,Asia Pacific,IDR,IDR
161390.KS,161390.KS,Hankook Tire,Consumer Cyclicals,South Korea,Asia Pacific,KRW,KRW
000720.KS,000720.KS,Hyundai Engineering & Construction,Industrials,South Korea,Asia Pacific,KRW,KRW
010620.KS,010620.KS,Hyundai Mipo Dockyard,Industrials,South Korea,Asia Pacific,KRW,KRW
030200.KS,030200.KS,KT Corp,Telecom Services,South Korea,Asia Pacific,KRW,KRW
KT,KT,KT Corp (ADR),Telecom Services,South Korea,Asia Pacific,USD,USD
2282.HK,2282.HK,MGM China,Industrials,Macau,Asia Pacific,HKD,HKD
MXSC.KL,6012.KL,Maxis Berhad,Telecom Services,Malaysia,Asia Pacific,MYR,MYR
ALI.PS,ALI.PS,"Ayala Land, Inc.",Financial Services,Philippines,Asia Pacific,PHP,PHP
DBSM.SI,D05.SI,DBS Group Holdings,Financial Services,Singapore,Asia Pacific,SGD,SGD
SGXL.SI,S68.SI,Singapore Exchange,Financial Services,Singapore,Asia Pacific,SGD,SGD
5871.TW,5871.TW,Chailease Holdings,Financial Services,Taiwan,Asia Pacific,TWD,TWD
2823.TW,2823.TW,China Life Insurance Co Ltd,Financial Services,Taiwan,Asia Pacific,TWD,TWD
1723.TW,1723.TW,China Steel Chemical,Basic Materials,Taiwan,Asia Pacific,TWD,TWD
2330.TW,2330.TW,TSMC,Technology,Taiwan,Asia Pacific,TWD,TWD
TSM,TSM,TSMC (ADR),Technology,Taiwan,Asia Pacific,USD,USD
5903.TWO,5903.TWO,Taiwan FamilyMart Co Ltd,Consumer Staples,Taiwan,Asia Pacific,TWD,TWD
DSH.AX,DSH.AX,Dick Smith Holdings Limited,Consumer Cyclicals,Australia,Australia / New Zealand,AUD,AUD
NEC.AX,NEC.AX,Nine Entertainment Co,Consumer Cyclicals,Australia,Australia / New Zealand,AUD,AUD
SEK.AX,SEK.AX,SEEK,Consumer Cyclicals,Australia,Australia / New Zealand,AUD,AUD
MELCA.NZ,MELCA.NZ,Meridian Energy Limited,Energy,New Zealand,Australia / New Zealand,NZD,NZD
STO.AX,STO.AX,Santos Limited,Energy,Australia,Australia / New Zealand,AUD,AUD
ANZ.AX,ANZ.AX,ANZ Banking Group Limited,Financial Services,Australia,Australia / New Zealand,AUD,AUD
AUB.AX,AUB.AX,Austbrokers Holdings Limited,Financial Services,Australia,Australia / New Zealand,AUD,AUD
GMG.AX,GMG.AX,Goodman Group,Financial Services,Australia,Australia / New Zealand,AUD,AUD
MGR.AX,MGR.AX,Mirvac Group,Financial Services,Australia,Australia / New Zealand,AUD,AUD
OFX.AX,OFX.AX,OzForex Group Limited,Financial Services,Australia,Australia / New Zealand,AUD,AUD
CSL.AX,CSL.AX,CSL Ltd.,Healthcare,Australia,Australia / New Zealand,AUD,AUD
WES.AX,WES.AX,Wesfarmers,Industrials,Australia,Australia / New Zealand,AUD,AUD
AIO.AX,AIO.AX,Asciano Group,Transportation,Australia,Australia / New Zealand,AUD,AUD
DUE.AX,DUE.AX,DUET Group,Utilities,Australia,Australia / New Zealand,AUD,AUD
IFT.NZ,IFT.NZ,Infratil,Utilities,Australia,Australia / New Zealand,NZD,NZD
SKI.AX,SKI.AX,Spark Infrastructure,Utilities,Australia,Australia / New Zealand,AUD,AUD
